merek;type;area;rating;lat;long;coordinates;id;;;;;;;;;;;;;;
Car Repair Word of Magic;Car;Jakarta Selatan;4,1;-6.26006322;106.8092594;{lat':-6.260063219617288, 'Ing':106.80925943729282};124;;;;;;;;;;;;;;
Bengkel BMA;Car;Jakarta Selatan;5;-6.259551306;106.7979298;{lat':-6.259551305991915, 'Ing':106.79792978762876};125;;;;;;;;;;;;;;
Bengkel Hangtuah;Car;Jakarta Selatan;3,4;-6.262110869;106.8308888;{lat':-6.262110869101174, 'Ing':106.83088876846969};126;;;;;;;;;;;;;;
Bengkel Motor Barokah;Motorcycle;Jakarta Selatan;3;-6.244108342;106.8163834;{lat':-6.244108342451573, 'Ing':106.8163833842431};127;;;;;;;;;;;;;;
PT. Indonesia Oto Service Center;Car;Jakarta Selatan;4,2;-6.29751687;106.8333779;(lat':-6.297516869614338, 'Ing':106.83337785912573};128;;;;;;;;;;;;;;
Bengkel Prima;Motorcycle;Jakarta Selatan;2,8;-6.275160521;106.7967781;{lat':-6.275160521432997, 'Ing':106.79677813349853};129;;;;;;;;;;;;;;
Mekanika motor;Car;Jakarta Selatan;4.7;-6.236566402;106.8277798;{lat':-6.236566402337002, 'Ing': 106.82777975283334};130;;;;;;;;;;;;;;
Bengkel Ali Mercy;Car;Jakarta Selatan;4.8;-6.296398437;106.7907205;{lat':-6.296398437374063, 'Ing':106.79072048233206};131;;;;;;;;;;;;;;
Jantra Kaki Jakarta;Car;Jakarta Selatan;4.8;-6.291450242;106.7792192;{lat':-6.291450241805346, 'Ing':106.77921915013037};132;;;;;;;;;;;;;;
SLT Pancoran;Car;Jakarta Selatan;4.1;-6.242134235;106.8432488;{lat':-6.242134234760402, 'Ing':106.84324880119432};133;;;;;;;;;;;;;;
Bengkel Dinamo Arif Jaya Teknik;Car;Jakarta Selatan;4.9;-6.258515768;106.8439354;{lat':-6.2585157678676255, 'Ing':106.8439354466285};134;;;;;;;;;;;;;;
Bengkel Hendy Motor;Car;Jakarta Selatan;5;-6.305951055;106.847197;{lat':-6.305951055447789, 'Ing':106.84719701244089};135;;;;;;;;;;;;;;
Bengkel Mobil 66;Car;Jakarta Selatan;5;-6.271142849;106.8090882;{lat':-6.271142849147189, 'Ing':106.80908819084355};136;;;;;;;;;;;;;;
Mentari Motor (Chevrolet);Car;Jakarta Selatan;4.4;-6.266023799;106.8308892;{lat':-6.266023798964449, 'Ing':106.83088918337894};137;;;;;;;;;;;;;;
Rajawali;Car;Jakarta Selatan;4.7;-6.253055314;106.7896905;{lat':-6.253055313836983, 'Ing':106.78969045732778};138;;;;;;;;;;;;;;
Bengkel VOLVO;Car;Jakarta Selatan;4.6;-6.297590474;106.827456;{lat':-6.2975904735421535, 'Ing':106.82745595620803};139;;;;;;;;;;;;;;
Vota Motor;Car;Jakarta Selatan;4.6;-6.260222148;106.8087449;{lat':-6.260222148050615, 'Ing':106.80874486812647};140;;;;;;;;;;;;;;
Jaya Spring;Car;Jakarta Selatan;4.6;-6.261416611;106.793982;{lat':-6.261416610861791, 'Ing':106.79398199129143};141;;;;;;;;;;;;;;
Mega Motor;Car;Jakarta Selatan;3;-6.287182214;106.8267693;{lat':-6.287182214078014, 'Ing':106.82676931077384};142;;;;;;;;;;;;;;
MD Autoworks;Car;Jakarta Selatan;4.6;-6.262440434;106.792952;{lat':-6.262440433953961, 'Ing':106.79295202314016};143;;;;;;;;;;;;;;
Jasmin Motor;Car;Jakarta Selatan;4.6;-6.270460312;106.7960419;{lat':-6.270460312025789, 'Ing':106.796041927594};144;;;;;;;;;;;;;;
CARfix;Car;Jakarta Selatan;4.7;-6.300661723;106.7809357;{lat':-6.300661723365862, 'Ing':106.7809357280419};145;;;;;;;;;;;;;;
Bengkel DSM;Motorcycle;Jakarta Selatan;4.3;-6.277115011;106.8456521;{lat':-6.27711501083556, 'Ing':106.84565206021395};146;;;;;;;;;;;;;;
Bengkel Hasim ;Motorcycle;Jakarta Selatan;4.5;-6.246059024;106.8374123;{lat':-6.246059023784335, 'Ing':106.83741231500372};147;;;;;;;;;;;;;;
Dokter Mobil BIntaro;Car;Jakarta Selatan;4.5;-6.274726155;106.7613663;{lat':-6.274726154638366, 'Ing':106.76136633290984};148;;;;;;;;;;;;;;
Bengkel Garden Speed Motorsport;Motorcycle;Jakarta Selatan;4.9;-6.286329069;106.7902054;{lat':-6.286329069079451, 'Ing':106.79020544114566};149;;;;;;;;;;;;;;
Pardi Motor;Car;Jakarta Selatan;4.8;-6.229335805;-6.229335805;{lat':-6.229335805486349, 'Ing':106.85269017668735};150;;;;;;;;;;;;;;
Bengkel Mobil Elisa Jaya;Car;Jakarta Selatan;5;-6.223021799;-6.223021799;{lat':-6.223021798724269, 'Ing':106.84170384896738};151;;;;;;;;;;;;;;
Bengkel Quattro;Car;Jakarta Selatan;4.8;-6.305951055;106.8135514;{lat':-6.305951055447789, 'Ing':106.81355138616576};152;;;;;;;;;;;;;;
HRA Auto Repair dan Maintenance;Car;Jakarta Selatan;4.6;-6.261075336;106.7905488;{lat':-6.2610753356798945, 'Ing':106.79054876364185};153;;;;;;;;;;;;;;
MS Motor Service;;Jakarta Selatan;5;-6.231554222;106.7747559;{lat':-6.2315542221929965, 'Ing':106.77475591883967};154;;;;;;;;;;;;;;
Otomotif Jakarta Utara Center;Car;Jakarta Utara;5;-6.120559561;106.873763;{'lat':-6.120559561260944, 'lng':106.87376295341822};155;;;;;;;;;;;;;;
Bengkel Sam Motor;Motorcycle;Jakarta Utara;5;-6.12886589;106.8569774;{'lat': -6.128865889896151 , 'lng': 106.85697736205192 };156;;;;;;;;;;;;;;
Bengkel Motor Suzuki Kelapa Gading;Motorcycle;Jakarta Utara;3,6;-6.1429806;106.9095605;{'lat': -6.142980599999989 , 'lng': 106.90956047119417 };157;;;;;;;;;;;;;;
Bengkel Motor Kribo Jaya;Motorcycle;Jakarta Utara;3,9;-6.153430933;106.9274713;{'lat': -6.153430932979342 , 'lng': 106.92747132886643 };158;;;;;;;;;;;;;;
Bengkel 9 Jaya Motor;Motorcycle;Jakarta Utara;4,5;-6.1176153;106.9169057;{'lat': -6.117615299999991 , 'lng': 106.9169057000303 };159;;;;;;;;;;;;;;
Leo Jaya Motor;Car;Jakarta Utara;4,6;-6.109093602;106.9093049;{'lat': -6.109093601861492 , 'lng': 106.90930491380567 };160;;;;;;;;;;;;;;
Bengkel TOP 1 Agung Jaya Motor;Car;Jakarta Utara;4,2;-6.140320633;106.8583966;{'lat': -6.1403206329540385 , 'lng': 106.85839659625786 };161;;;;;;;;;;;;;;
